,unit,ticker,exchangeCD,shortNM,currencyCD,barTime,dataDate,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
30,1,000001,XSHG,上证指数,10:00,2016/7/1,2939.077,2938.729,2939.954,2938.407,73868800,920897335,
31,1,000001,XSHG,上证指数,10:01,2016/7/1,2940.773,2939.094,2940.773,2939.094,83875000,999229872.8,
32,1,000001,XSHG,上证指数,10:02,2016/7/1,2942.367,2940.912,2942.367,2940.912,95444100,1106820779,
33,1,000001,XSHG,上证指数,10:03,2016/7/1,2941.861,2941.765,2942.923,2941.707,98462200,1115045133,
34,1,000001,XSHG,上证指数,10:04,2016/7/1,2943.318,2942.786,2943.461,2942.416,83989900,986229531.1,
35,1,000001,XSHG,上证指数,10:05,2016/7/1,2942.593,2942.977,2943.727,2942.541,79589100,949393492.9,
36,1,000001,XSHG,上证指数,10:06,2016/7/1,2943.131,2942.527,2943.327,2941.958,80873000,973210111,
37,1,000001,XSHG,上证指数,10:07,2016/7/1,2942.521,2942.792,2943.18,2942.402,76153900,925896473.1,
38,1,000001,XSHG,上证指数,10:08,2016/7/1,2942.92,2942.815,2943.169,2942.07,68890100,850703105.7,
39,1,000001,XSHG,上证指数,10:09,2016/7/1,2942.774,2942.464,2942.873,2941.995,63316300,777110059.4,
40,1,000001,XSHG,上证指数,10:10,2016/7/1,2941.35,2942.421,2942.619,2941.128,63545600,805151729,
41,1,000001,XSHG,上证指数,10:11,2016/7/1,2941.357,2941.249,2941.802,2940.695,65544000,794317072.8,
42,1,000001,XSHG,上证指数,10:12,2016/7/1,2941.835,2941.467,2941.835,2940.754,54073300,688195416.7,
43,1,000001,XSHG,上证指数,10:13,2016/7/1,2942.335,2941.776,2942.335,2941.496,67893300,857672978,
44,1,000001,XSHG,上证指数,10:14,2016/7/1,2942.976,2942.276,2943.038,2941.88,73579600,923613169.5,
45,1,000001,XSHG,上证指数,10:15,2016/7/1,2944.13,2943.774,2944.392,2942.854,87589500,1069292068,
46,1,000001,XSHG,上证指数,10:16,2016/7/1,2943.453,2944.606,2944.847,2943.453,73310400,924481022.4,
47,1,000001,XSHG,上证指数,10:17,2016/7/1,2942.995,2943.673,2944.942,2942.995,77825200,962574794.7,
48,1,000001,XSHG,上证指数,10:18,2016/7/1,2942.719,2943.557,2943.917,2942.54,75281500,942170963.6,
49,1,000001,XSHG,上证指数,10:19,2016/7/1,2942.748,2942.9,2943.231,2942.384,68778300,894045690.8,
50,1,000001,XSHG,上证指数,10:20,2016/7/1,2941.976,2942.479,2943.461,2941.976,68849300,901571064.7,
51,1,000001,XSHG,上证指数,10:21,2016/7/1,2942.037,2942.191,2943.077,2942.037,68292600,888459213.6,
52,1,000001,XSHG,上证指数,10:22,2016/7/1,2941.175,2942.293,2942.293,2941.175,69233300,905898197.9,
53,1,000001,XSHG,上证指数,10:23,2016/7/1,2941.2,2941.391,2942.475,2941.2,69600500,815816939.6,
54,1,000001,XSHG,上证指数,10:24,2016/7/1,2941.647,2941.26,2942.401,2941.223,64806900,802966132.8,
55,1,000001,XSHG,上证指数,10:25,2016/7/1,2941.67,2941.267,2942.648,2941.096,69163800,825152231.9,
56,1,000001,XSHG,上证指数,10:26,2016/7/1,2941.715,2942.168,2942.685,2941.032,65750200,784948645,
57,1,000001,XSHG,上证指数,10:27,2016/7/1,2939.892,2941.757,2942.11,2939.892,60299800,756223290.5,
58,1,000001,XSHG,上证指数,10:28,2016/7/1,2939.143,2939.691,2940.61,2939.143,84504300,1048660401,
59,1,000001,XSHG,上证指数,10:29,2016/7/1,2937.934,2939.306,2939.8,2937.699,80706700,985933714.7,
60,1,000001,XSHG,上证指数,10:30,2016/7/1,2937.583,2938.41,2938.717,2937.537,70721900,892871864.3,
61,1,000001,XSHG,上证指数,10:31,2016/7/1,2937.502,2938.297,2938.431,2937.254,62233800,765855113.1,
62,1,000001,XSHG,上证指数,10:32,2016/7/1,2937.24,2938.362,2939.004,2937.209,56890400,727821789.5,
63,1,000001,XSHG,上证指数,10:33,2016/7/1,2937.997,2937.73,2938.74,2937.377,47779900,600542073.2,
